barcode	filesize	read_length	reads_total	reads_mapped
TCGA-D6-A6ES-01A-12R-A31N-07	5894406216	48	144628259	120256391
TCGA-D6-A74Q-01A-11R-A34R-07	7668356948	48	170335688	163666569
TCGA-DQ-5624-01A-01R-1873-07	9274470429	48	211831650	207619188
TCGA-DQ-5625-01A-01R-1873-07	7210314943	48	169038450	165803147
TCGA-DQ-5629-01A-01R-1873-07	6711161388	48	152225579	149688139
TCGA-DQ-5630-01A-01R-1873-07	6242803779	48	146311650	143305070
TCGA-DQ-7588-01A-11R-2081-07	7706273154	48	159343690	155947376
TCGA-DQ-7589-01A-11R-2232-07	8999466297	48	223043128	219008217
TCGA-DQ-7590-01A-11R-2232-07	5516800112	48	135647829	132065535
TCGA-DQ-7591-01A-11R-2081-07	7852060992	48	152683357	148265689
TCGA-DQ-7592-01A-11R-2081-07	9048423540	48	212726172	176154033
TCGA-DQ-7593-01A-11R-2232-07	7087632092	48	171702395	165708392
TCGA-DQ-7594-01A-11R-2232-07	7327683264	48	174622214	168595744
TCGA-DQ-7595-01A-11R-2232-07	6869502588	48	170657702	167180866
TCGA-DQ-7596-01A-11R-2232-07	7727025681	48	191029843	186902827
TCGA-F7-8298-01A-11R-2403-07	4078368635	48	97677467	94669919
TCGA-F7-8489-01A-31R-2403-07	4721582100	48	112978653	105930493
TCGA-F7-A50G-01A-11R-A266-07	6616749105	48	146797249	141206226
TCGA-F7-A50I-01A-11R-A28V-07	4943852276	48	101228351	98720094
TCGA-F7-A50J-01A-21R-A28V-07	5785275828	48	120906908	116837094
TCGA-F7-A61S-01A-11R-A28V-07	4916298555	48	102620892	96279012
TCGA-F7-A61V-01A-11R-A28V-07	6625958509	48	131260800	127641480
TCGA-F7-A61W-01A-11R-A28V-07	6735169817	48	129081175	125293459
